site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,-1.227,2022-01-03
arbutuslake,43.98207,-74.23322,535,0.085,2022-01-03
arbutuslakeinlet,43.99336,-74.24527,527,0.085,2022-01-03
archboldavir,27.176064,-81.21958,8,-0.134,2022-01-03
archboldavirx,27.166627,-81.219828,8,-0.134,2022-01-03
archboldbahia,27.1656,-81.216112,8,-0.134,2022-01-03
archboldpnot,27.187948,-81.200345,9,-0.134,2022-01-03
archboldpnotx,27.180677,-81.20068,9,-0.134,2022-01-03
arkansascornsoy,34.416,-91.6723,61,-0.994,2022-01-03
arsbrooks10,41.9749,-93.6905,312,1.121,2022-01-03
arsbrooks11,41.9744,-93.6937,313,1.121,2022-01-03
arscolesnorth,42.4884,-93.5225,356,0.729,2022-01-03
arscolessouth,42.4816,-93.5235,352,0.729,2022-01-03
arsgacp1,31.5109,-83.6179,96,-0.828,2022-01-03
arsgacp3,31.7563,-83.7516,139,-0.496,2022-01-03
arsgacp4,31.7093,-83.7287,127,-0.392,2022-01-03
arsgreatbasinltar098,43.1675,-116.7132,1426,0.523,2022-01-03
arsgreatbasinltar117,43.1432,-116.7357,1625,0.291,2022-01-03
arsgreatbasinltar177,43.0645,-116.7484,2114,-0.096,2022-01-03
arsltarmdcr,39.0587,-75.8513,17,-1.1,2022-01-03
arsltarmdcrnatw,39.0575,-75.7531,16,-1.17,2022-01-03
arsltarmdcrprcw,39.0667,-75.7609,17,-1.17,2022-01-03
arsltarmdcrresw,39.0549,-75.7532,16,-1.17,2022-01-03
arsltarucbec1,40.7537,-78.0057,400,-0.527,2022-01-03
arsltarucbec2,40.7558,-77.9999,396,-0.527,2022-01-03
arsmnswanlake1,45.684508,-95.799703,370,1.493,2022-01-03
arsmorris1,45.6167,-96.1269,341,1.532,2022-01-03
arsmorris2,45.627,-96.127,338,1.532,2022-01-03
arsmorris3,45.6091,-96.1265,342,1.532,2022-01-03
arsope3ltar,39.0309,-76.8442,41,-0.788,2022-01-03
ashburnham,42.6029,-71.926,292,-0.471,2022-01-03
